,DAQlpGBT,EvSize,Elinks,Layer,U,V,LUV,nModules,doubleDAQlpGBT,EvSize [kb],BitsPerElink
326,510,106.6457,5,17,7,0,4464,5,False,3.4126624,682.53248
327,511,106.7121,5,17,7,7,4471,5,False,3.4147872,682.95744
328,512,86.0183,4,17,7.5,6.5,4478.5,4,False,2.7525856,688.1464
329,513,85.9653,4,17,1,7.5,4375.5,4,False,2.7508896,687.7224
330,514,85.9832,4,17,7.5,1,4473,4,False,2.7514624,687.8656
331,515,85.7589,4,17,6.5,7.5,4463.5,4,False,2.7442848,686.0712
332,516,101.4423,5,17,8,6,4486,5,False,3.2461536,649.23072
333,517,101.4553,5,17,2,8,4392,5,False,3.2465696,649.31392
334,518,101.517,5,17,8,2,4482,5,False,3.248544,649.7088
335,519,101.2858,5,17,6,8,4456,5,False,3.2411456,648.22912
336,520,110.5581,5,17,8,5,4485,5,False,3.5378592,707.57184
337,521,110.573,5,17,3,8,4408,5,False,3.538336,707.6672
338,522,78.742,4,17,8.5,3,4491,4,False,2.519744,629.936
339,523,78.6206,4,17,5.5,8.5,4448.5,4,False,2.5158592,628.9648
340,524,57.0576,3,17,9,5,4501,3,False,1.8258432,608.6144
341,525,57.0029,3,17,4,9,4425,3,False,1.8240928,608.030933333333
342,526,51.3055,3,17,9.66666666666667,4.33333333333333,4511,3,False,1.641776,547.258666666667
343,527,51.2942,3,17,5.33333333333333,9.66666666666667,4447,3,False,1.6414144,547.138133333333
